"ID","Author","Title","Publiccation_year","venue","Search_String"
"1","Arghavan Moradi Dakhel, Amin Nikanjam, Vahid Majdinasab, F. Khomh, M. Desmarais","Effective Test Generation Using Pre-trained Large Language Models and Mutation Testing","2023","https://www.semanticscholar.org/paper/Effective-Test-Generation-Using-Pre-trained-Large-Dakhel-Nikanjam/958530b2a6267fd0c251a7c82e0267c21dca9cdf ","String 1"
"2","Mike Papadakis, Marinos Kintis, Jie M. Zhang, Yue Jia, Y. L. Traon, M. Harman","Chapter Six - Mutation Testing Advances: An Analysis and Survey","2019","https://www.semanticscholar.org/paper/Chapter-Six-Mutation-Testing-Advances%3A-An-Analysis-Papadakis-Kintis/d461ab9482b7fb5eadd7e6cd2c6dffced8ede8b8","String 1"
"3","L. Ma, Fuyuan Zhang, Jiyuan Sun, Minhui Xue, Bo Li, Felix Juefei-Xu, Chao Xie, Li Li, Yang Liu, Jianjun Zhao, Yadong Wang","DeepMutation: Mutation Testing of Deep Learning Systems","2018","https://www.semanticscholar.org/paper/DeepMutation%3A-Mutation-Testing-of-Deep-Learning-Ma-Zhang/af4711bd50bddfdceb6728bb0a898d22f0f44843 ","String 2"
"4","Jingyi Wang, Guoliang Dong, Jun Sun, Xinyu Wang, Peixin Zhang","Adversarial Sample Detection for Deep Neural Network through Model Mutation Testing","2018","https://www.semanticscholar.org/paper/Adversarial-Sample-Detection-for-Deep-Neural-Model-Wang-Dong/0392b5ea89298dbef3bd6532cdaa3e1e37df285d","String 2"
"5","Goran Petrović, M. Ivanković","State of Mutation Testing at Google","2017","https://www.semanticscholar.org/paper/State-of-Mutation-Testing-at-Google-Petrovi%C4%87-Ivankovi%C4%87/6f2e2150ea7f52ee5e3e0e0e34ef130080802c4e","String 2"
"6","Nargiz Humbatova, Gunel Jahangirova, P. Tonella","DeepCrime: mutation testing of deep learning systems based on real faults","2021","https://www.semanticscholar.org/paper/DeepCrime%3A-mutation-testing-of-deep-learning-based-Humbatova-Jahangirova/f6475aa7be42d411b8d898b1ac3cf0f48028294b ","String 2"
"7","Q. Hu, L. Ma, Xiaofei Xie, Bing Yu, Yang Liu, Jianjun Zhao","DeepMutation++: A Mutation Testing Framework for Deep Learning Systems","2019","https://www.semanticscholar.org/paper/DeepMutation%2B%2B%3A-A-Mutation-Testing-Framework-for-Hu-Ma/f3c1997c0aeac526212fa00a35e87ff9ea550f66 ","String 2"
"8","M. Vásquez, G. Bavota, Michele Tufano, Kevin Moran, M. D. Penta, Christopher Vendome, Carlos Bernal-Cárdenas, D. Poshyvanyk","Enabling mutation testing for Android apps","2017","semanticscholar.org/paper/Enabling-mutation-testing-for-Android-apps-Vásquez-Bavota/293e08c0b716ab932eebab270d44df624d2f227c","String 2"
"9","Rodolfo A. Silva, S. Souza, P. L. D. Souza","A systematic review on search based mutation testing","2017","https://www.semanticscholar.org/paper/A-systematic-review-on-search-based-mutation-Silva-Souza/a6def6e0841db6fc919457658f4d689241eec467","String 2"
"10","Goran R. Petrovi'c, Marko Ivanković, Gordon Fraser, René Just ","Does Mutation Testing Improve Testing Practices?","2021","semanticscholar.org/paper/Does-Mutation-Testing-Improve-Testing-Practices-Petrovi'c-Ivanković/1929c365d171c78c9c24b242b5b57e2832bc907b","String 2"
"11","Goran Petrović, M. Ivanković, Gordon Fraser, René Just","Practical Mutation Testing at Scale: A view from Google","2021","semanticscholar.org/paper/Practical-Mutation-Testing-at-Scale%3A-A-view-from-Petrović-Ivanković/c04b8dddca00070ae4abb1864974f4c3d05274f2","String 2"
"12","Muhammad Hassan, Sallar Ahmadi-Pour, Khushboo Qayyum, C. Jha, Rolf Drechsler","LLM-Guided Formal Verification Coupled with Mutation Testing","2024","semanticscholar.org/paper/LLM-Guided-Formal-Verification-Coupled-with-Testing-Hassan-Ahmadi-Pour/0b91330aef4b59ece6fd904cceca4c17b58430a2 ","String 2"
"13","Jiali Wei, Ming Fan, Wenjing Jiao, Wuxia Jin, Ting Liu","BDMMT: Backdoor Sample Detection for Language Models Through Model Mutation Testing","2023","semanticscholar.org/paper/BDMMT%3A-Backdoor-Sample-Detection-for-Language-Model-Wei-Fan/23eef695d57ac357645a5c046af0f4e0f095881d","String 2"
"14","Zan Wang, Hanmo You, Junjie Chen, Yingyi Zhang, Xuyuan Dong, Wenbin Zhang","Prioritizing Test Inputs for Deep Neural Networks via Mutation Analysis","2021","https://www.semanticscholar.org/paper/Prioritizing-Test-Inputs-for-Deep-Neural-Networks-Wang-You/44749c75af9874749bc42f82735c0d9fb89da3bd","String 3"
"15","Xiang Gao, Xiaoqun Dong, Xuanxuan Li, Zhijie Liu, Haiguang Liu ","Prediction of disulfide bond engineering sites using a machine learning method","2020","https://www.semanticscholar.org/paper/Prediction-of-disulfide-bond-engineering-sites-a-Gao-Dong/2f7876a86109fa30cfc50603dc2cd31fa2e6b0ef","String 3"
"16","Zhao Tian, Junjie Chen, Qihao Zhu, Jie Yang, Lingming Zhang","Learning to Construct Better Mutation Faults","2022","https://www.semanticscholar.org/paper/Learning-to-Construct-Better-Mutation-Faults-Tian-Chen/7d4dd48ffba1b8568d74b12facf7a2cbe96ed638","String 3"
"17","R. Kim, Sofia Nomikou, N. Coudray, G. Jour, Z. Dawood, R. Hong, E. Esteva, T. Sakellaropoulos, D. Donnelly, U. Moran, A. Hatzimemos, J. Weber, Narges Razavian, I. Aifantis, David Fenyő, M. Snuderl, R. Shapiro, R. Berman, I. Osman, A. Tsirigos","Deep learning and pathomics analyses reveal cell nuclei as important features for mutation prediction of BRAF-mutated melanomas","2021","https://www.semanticscholar.org/paper/Deep-learning-and-pathomics-analyses-reveal-cell-as-Kim-Nomikou/516d450442769c3bf6b8e15a93a13c521eb2c2e7","String 3"
"18","Annibale Panichella, Cynthia C. S. Liem","What Are We Really Testing in Mutation Testing for Machine Learning? A Critical Reflection","2021","https://www.semanticscholar.org/paper/What-Are-We-Really-Testing-in-Mutation-Testing-for-Panichella-Liem/005f7a00373d8ee538fc5d88254d0fe7520a7f86","String 3"
"19","Rong Pan, M. Bagherzadeh, Taher A. Ghaleb, L. Briand","Test case selection and prioritization using machine learning: a systematic literature review","2021","https://www.semanticscholar.org/paper/Test-case-selection-and-prioritization-using-a-Pan-Bagherzadeh/fe5720ed8b839df37a50f3866cc92a0925f96eef","String 3"
"20","Muthuramalingam Sivakumar, S. Parthasarathy, Thiyagarajan Padmapriya","Trade-off between training and testing ratio in machine learning for medical image processing","2024","https://www.semanticscholar.org/paper/Trade-off-between-training-and-testing-ratio-in-for-Sivakumar-Parthasarathy/eccc48082a8fb7658f56a34cab37ef364eee9137","String 3"
"21","Jianwen Fang","A critical review of five machine learning-based algorithms for predicting protein stability changes upon mutation","2019","www.semanticscholar.org/paper/A-critical-review-of-five-machine-learning-based-Fang/23d8ab82b750fe7c813590f03c30377af7d1a5c6","String 3"
"22","H. Veeraraghavan, C. Friedman, D. DeLair, J. Nincevic, Y. Himoto, S. Bruni, G. Cappello, I. Petkovska, S. Nougaret, I. Nikolovski, A. Zehir, N. Abu-Rustum, C. Aghajanian, D. Zamarin, K. Cadoo, L. Diaz, M. Leitao, V. Makker, R. Soslow, Jennifer J Mueller, B. Weigelt, Y. Lakhman","Machine learning-based prediction of microsatellite instability and high tumor mutation burden from contrast-enhanced computed tomography in endometrial cancers","2020","www.semanticscholar.org/paper/Machine-learning-based-prediction-of-microsatellite-Veeraraghavan-Friedman/9edfc2b2c862d84f39c062a5cb769f56c5464fd4","String 3"
"23","Dawei Cheng, Chun Cao, Chang Xu, Xiaoxing Ma","Manifesting Bugs in Machine Learning Code: An Explorative Study with Mutation Testing","2018","https://www.semanticscholar.org/paper/Manifesting-Bugs-in-Machine-Learning-Code%3A-An-Study-Cheng-Cao/55d8d4e4c6a993a8d7d5a24ba5659a301ad0b48b","String 1"
"24","Xiangying Dang, D. Gong, Xiangjuan Yao, Tian Tian, Huai Liu ","Enhancement of Mutation Testing via Fuzzy Clustering and Multi-Population Genetic Algorithm","2021","https://www.semanticscholar.org/paper/Enhancement-of-Mutation-Testing-via-Fuzzy-and-Dang-Gong/e86da75192d5c5ae8e6bae7e7f8f03bce019d1a1","String 1"
"25","Xueyun Tan, Yuan Li, Sufei Wang, Hui Xia, R. Meng, Juanjuan Xu, Yanran Duan, Yan Li, Guanghai Yang, Yanling Ma, Yang Jin","Predicting EGFR mutation, ALK rearrangement, and uncommon EGFR mutation in NSCLC patients by driverless artificial intelligence: a cohort study","2022","https://www.semanticscholar.org/paper/Predicting-EGFR-mutation%2C-ALK-rearrangement%2C-and-in-Tan-Li/4b6c570d7b199c6db997cb47773fa868ec167146","String 1"
"26","Ao Zhang, Yiying Zhang, Yao Xu, Cong Wang, Siwei Li","Machine Learning-Based Fuzz Testing Techniques: A Survey","2024","https://www.semanticscholar.org/paper/Machine-Learning-Based-Fuzz-Testing-Techniques%3A-A-Zhang-Zhang/da03493ae804428644b52b03019ad6192bfaa49e","String 1"
"27","M. Naeem, Tao Lin, Hamad Naeem, Hailu Liu ","A machine learning approach for classification of equivalent mutants","2019","https://www.semanticscholar.org/paper/A-machine-learning-approach-for-classification-of-Naeem-Lin/beacaa9abf8eed3e486d80a6a4a1aba5db604d5e","String 1"
"28","Mustafa Umit Oner, Y. Cheng, H. K. Lee, Wing-Kin Sung","Training machine learning models on patient level data segregation is crucial in practical clinical applications","2020","https://www.semanticscholar.org/paper/Training-machine-learning-models-on-patient-level-Oner-Cheng/b6906acde06a64357ef7b9735791a798043e21ed","String 1"
"29","Jingyi Wang, Guoliang Dong, Jun Sun, Xinyu Wang, Peixin Zhang ","Adversarial Sample Detection for Deep Neural Network through Model Mutation Testing","2018","www.semanticscholar.org/paper/Adversarial-Sample-Detection-for-Deep-Neural-Model-Wang-Dong/0392b5ea89298dbef3bd6532cdaa3e1e37df285d","String 1"
"30","Zan Wang, Ming Yan, Junjie Chen, Shuang Liu, Dongdi Zhang ","Deep learning library testing via effective model generation","2020","https://www.semanticscholar.org/paper/Deep-learning-library-testing-via-effective-model-Wang-Yan/368f36c67c70d484901c3f303aa25312e864d875","String 1"
"31","R. Degiovanni, Mike Papadakis","µBert: Mutation Testing using Pre-Trained Language Models","2022","https://www.semanticscholar.org/paper/µBert%3A-Mutation-Testing-using-Pre-Trained-Language-Degiovanni-Papadakis/45132c8a65a05da14d5c749cb5a4704e92426859","String 1"
"32","Pedro Delgado-Pérez, A. B. Sánchez, Sergio Segura, I. Medina-Bulo ","Performance mutation testing","2020","https://www.semanticscholar.org/paper/Performance-mutation-testing-Delgado-Pérez-Sánchez/19c90960ca6b9ab3c3e15f2912ba4ab8c5b0300d","String 1"
"33","E. Guerra, J. Cuadrado, J. Lara","Towards Effective Mutation Testing for ATL","2019","https://www.semanticscholar.org/paper/Towards-Effective-Mutation-Testing-for-ATL-Guerra-Cuadrado/ea3d5719631ee1d333e0198c5210e3620d512305","String 1"
"34","Florian Lorber, K. Larsen, B. Nielsen","Model-Based Mutation Testing of Real-Time Systems via Model Checking","2018","https://www.semanticscholar.org/paper/Model-Based-Mutation-Testing-of-Real-Time-Systems-Lorber-Larsen/6efaf6881eee456669577d551f064eb756f87fb3","String 1"
"35","Bekzat Skakov, Sanzhar Abduraimov, Olzhas Nurman, Nursultan Kabylkas","Firefly: Shedding Light on Verification Gaps using LLM-Powered Mutation Testing","2025","https://www.semanticscholar.org/paper/Firefly%3A-Shedding-Light-on-Verification-Gaps-using-Skakov-Abduraimov/3a0da0515e6a8b066530ac96809340fdc91e471b","String 1"
"36","Dong Huang, Qingwen Bu, J Zhang, Xiaofei Xie, Junjie Chen, Heming Cui ","Bias Testing and Mitigation in LLM-based Code Generation","2023","https://www.semanticscholar.org/paper/Bias-Testing-and-Mitigation-in-LLM-based-Code-Huang-Bu/148134fac202889ff6256b6b7d574cb714941887","String 1"
"37","Wittawat Jitkrittum, Harikrishna Narasimhan, A. Rawat, Jeevesh Juneja, Zifeng Wang, Chen-Yu Lee, P. Shenoy, Rina Panigrahy, A. Menon, Sanjiv Kumar","Universal Model Routing for Efficient LLM Inference","2025","https://www.semanticscholar.org/paper/Universal-Model-Routing-for-Efficient-LLM-Inference-Jitkrittum-Narasimhan/469eceac4b051e03b4c951f38c11f9c4899c35ce","String 1"
"38","Jiali Wei, Ming Fan, Wenjing Jiao, Wuxia Jin, Ting Liu","BDMMT: Backdoor Sample Detection for Language Models Through Model Mutation Testing","2023","https://www.semanticscholar.org/paper/BDMMT%3A-Backdoor-Sample-Detection-for-Language-Model-Wei-Fan/23eef695d57ac357645a5c046af0f4e0f095881d","String 1"
"39","Ziyu Li, Donghwan Shin","Mutation-based Consistency Testing for Evaluating the Code Understanding Capability of LLMs","2024","https://www.semanticscholar.org/paper/Mutation-based-Consistency-Testing-for-Evaluating-Li-Shin/bdd57198ac5d1ee6a1dbefd7cc34738d4c927fbf","String 1"
"40","Matthew Stephan, J. Cordy","MuMonDE: A framework for evaluating model clone detectors using model mutation analysis","2018","https://www.semanticscholar.org/paper/MuMonDE%3A-A-framework-for-evaluating-model-clone-Stephan-Cordy/c846409f231a98c774d91b3e0e318218b0e33bc6","String 1"
