id,title,authors,year,venue,search_strings,v1_decision,v1_reason
138,Fault-localization techniques for software systems,Pragya Agarwal and Arun Prakash Agrawal,2014,ACM SIGSOFT Software Engineering Notes,String B,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
139,GiGAn: Evolutionary mutation testing for C++ object-oriented systems,Pedro Delgado-PÃ©rez and Inmaculada Medina-Bulo and Sergio Segura and Antonio GarcÃ­a-DomÃ­nguez and Juan JosÃ© DomÃ­nguez-JimÃ©nez,2017,Proceedings of the ACM Symposium on Applied Computing,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
140,Spotting Code Mutation for Predictive Mutation Testing,Yifan Zhao and Yizhou Chen and Zeyu Sun and Qingyuan Liang and Guoqing Wang and Dan Hao,2024,"Proceedings - 2024 39th ACM/IEEE International Conference on Automated Software Engineering, ASE 2024",String B,INCLUDE,
141,A variability perspective of mutation analysis,Xavier Devroey and Mike Papadakis and Gilles Perrouin and Axel Legay and Maxime Cordy and Pierre Yves Schobbens,2014,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
142,Turning programs against each other: High coverage fuzz-testing using binary-code mutation and dynamic slicing,Ulf KargÃ©n and Nahid Shahmehri,2015,"2015 10th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering, ESEC/FSE 2015 - Proceedings",String B,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
143,Change-aware mutation testing for evolving systems,MiloÅ¡ OjdaniÄ‡,2022,ESEC/FSE 2022 - Proceedings of the 30th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
144,Evaluating non-adequate test-case reduction,Mohammad Amin Alipour and August Shi and Rahul Gopinath and Darko Marinov and Alex Groce,2016,ASE 2016 - Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
145,d(mu)Reg: A path-aware mutation analysis guided approach to regression testing,Chang Ai Sun and Cuiyang Fan and Zhen Wang and Huai Liu,2017,"Proceedings - 2017 IEEE/ACM 12th International Workshop on Automation of Software Testing, AST 2017",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
146,Evaluating random mutant selection at class-level in projects with non-adequate test suites,Ali Parsai and Alessandro Murgia and Serge Demeyer,2016,ACM International Conference Proceeding Series,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
147,On the limits of mutation reduction strategies,Rahul Gopinath and Mohammad Amin Alipour and Iftekhar Ahmed and Carlos Jensen and Alex Groce,2016,Proceedings - International Conference on Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
148,Mutant Reduction Evaluation: What is There and What is Missing?,Peng Zhang and Yang Wang and Xutong Liu and Yanhui Li and Yibiao Yang and Ziyuan Wang and Xiaoyu Zhou and Lin Chen and Yuming Zhou,2022,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
149,Measuring effectiveness of sample-based product-line testing,Sebastian Ruland and Sascha Lity and Lars Luthmann and Thomas ThÃ¼m and MÃ¡rcio Ribeiro and Johannes BÃ¼rdek and Malte Lochau,2018,"GPCE 2018 - Proceedings of the 17th ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences, co-located with SPLASH 2018",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
150,Towards mutation analysis for use cases,Huihui Zhang and Tao Yue and Shaukat Ali and Chao Liu,2016,"Proceedings - 19th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2016",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
151,Java unit testing tool competition: Sixth round,Urko Rueda Molina and Fitsum Kifetew and Annibale Panichella,2018,Proceedings - International Conference on Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
152,On the utility of dominator mutants for mutation testing,Bob Kurtz,2016,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
153,"Are mutants really natural?: A study on how ""naturalness"" helps mutant selection",Matthieu Jimenez and Thiery Titcheu Checkam and Maxime Cordy and Mike Papadakis and Marinos Kintis and Yves Le Traon and Mark Harman,2018,International Symposium on Empirical Software Engineering and Measurement,String B,INCLUDE,
154,MutAPK 2.0: A tool for reducing mutation testing effort of Android apps,Camilo Escobar-VelÃ¡squez and Diego Riveros and Mario Linares-VÃ¡squez,2020,ESEC/FSE 2020 - Proceedings of the 28th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
155,Evaluating different strategies for reduction of mutation testing costs,Jackson A. Prado Lima and Giovani Guizzo and Silvia R. Vergilio and Alan P.C. Silva and Helson L. Jakubovski Filho and Henrique V. Ehrenfried,2016,ACM International Conference Proceeding Series,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
156,Inferring mutant utility from program context,Rene Just and Bob Kurtz and Paul Ammann,2017,ISSTA 2017 - Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
157,Efficiently finding higher-order mutants,Chu Pan Wong and Jens Meinicke and Leo Chen and JoÃ£o P. Diniz and Christian KÃ¤stner and Eduardo Figueiredo,2020,ESEC/FSE 2020 - Proceedings of the 28th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
158,Keeping Mutation Test Suites Consistent and Relevant with Long-Standing Mutants,Milos Ojdanic and Mike Papadakis and Mark Harman,2023,ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
159,Analyzing the validity of selective mutation with dominator mutants,Bob Kurtz and Paul Ammann and Jeff Offutt and MÃ¡rcio E. Delamaro and Mariet Kurtz and Nida GÃ¶kÃ§e,2016,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
160,Poster: Predicting the fault revelation utility of mutants,Thierry Titcheu Chekam and Mike Papadakis and TegawendÃ© BissyandÃ© and Yves Le Traon,2018,Proceedings - International Conference on Software Engineering,String B,EXCLUDE,EC3 â€” poster / extended abstract
161,Fault-based product-line testing: Effective sample generation based on feature-diagram mutation,Dennis Reuling and Johannes BÃ¼rdek and Serge RotÃ¤rmel and Malte Lochau and Udo Kelter,2015,ACM International Conference Proceeding Series,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
162,iBiR: Bug-report-driven Fault Injection,Ahmed Khanfir and Anil Koyuncu and Mike Papadakis and Maxime Cordy and Tegawende F. BissyandÃ© and Jacques Klein and Yves Le Traon,2023,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
163,MuRS: Mutant Ranking and Suppression using Identifier Templates,Zimin Chen and MaÅ‚gorzata Salawa and Manushree Vijayvergiya and Goran PetroviÄ‡ and Marko IvankoviÄ‡ and RenÃ© Just,2023,ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
164,MuDelta: Delta-oriented mutation testing at commit time,Wei Ma and Thierry Titcheu Chekam and Mike Papadakis and Mark Harman,2021,Proceedings - International Conference on Software Engineering,String B,INCLUDE,
165,Predictive Mutation Analysis via the Natural Language Channel in Source Code,Jinhan Kim and Juyoung Jeon and Shin Hong and Shin Yoo,2022,ACM Transactions on Software Engineering and Methodology,String B,INCLUDE,
166,Prioritizing Mutants to Guide Mutation Testing,Samuel J. Kaufman and Ryan Featherman and Justin Alvin and Bob Kurtz and Paul Ammann and Rene Just,2022,Proceedings - International Conference on Software Engineering,String B,UNSURE,ChÆ°a rÃµ káº¿t quáº£ thá»±c nghiá»‡m trong abstract â€” kiá»ƒm tra full-text
167,Mutation Testing in Evolving Systems: Studying the Relevance of Mutants to Code Evolution,Milos Ojdanic and Ezekiel Soremekun and Renzo Degiovanni and Mike Papadakis and Yves Le Traon,2023,ACM Transactions on Software Engineering and Methodology,String B,INCLUDE,
168,Cost measures matter for mutation testing study validity,Giovani Guizzo and Federica Sarro and Mark Harman,2020,ESEC/FSE 2020 - Proceedings of the 28th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
169,LEAM++: Learning for Selective Mutation Fault Construction,Zhao Tian and Junjie Chen and Dong Wang and Qihao Zhu and Xingyu Fan and Lingming Zhang,2025,ACM Transactions on Software Engineering and Methodology,String B,INCLUDE,
170,Guiding Greybox Fuzzing with Mutation Testing,Vasudev Vikram and Isabella Laybourn and Ao Li and Nicole Nair and Kelton Obrien and Rafaello Sanna and Rohan Padhye,2023,ISSTA 2023 - Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
171,PRIMG : Efficient LLM-driven Test Generation Using Mutant Prioritization,Mohamed Salah Bouafif and Mohammad Hamdaqa and Edward Zulkoski,2025,"Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025",String B,INCLUDE,
172,Reducing combinatorics in GUI testing of android applications,Nariman Mirzaei and Joshua Garcia and Hamid Bagheri and Alireza Sadeghi and Sam Malek,2016,Proceedings - International Conference on Software Engineering,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
173,Applying the meta-heuristic algorithms for mutation-based Test data generation for Simulink models,Le Thi My Hanh and Nguyen Thanh Binh and Khuat Thanh Tung,2014,ACM International Conference Proceeding Series,String C,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
174,Guidelines for coverage-based comparisons of non-adequate test suites,Milos Gligoric and Alex Groce and Chaoqiang Zhang and Rohan Sharma and Mohammad Amin Alipour and Darko Marinov,2015,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
175,The State and Future of Genetic Improvement,William B. Langdon and Westley Weimer and Christopher Timperley and Oliver Krauss and Zhen Yu Ding and Yiwei Lyu and Nicolas Chausseau and Eric Schulte and Shin Hwei Tan and Kevin Leach and Yu Huang and Gabin An,2019,ACM SIGSOFT Software Engineering Notes,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
176,GIN: Genetic improvement research made easy,Alexander E.I. Brownlee and Earl T. Barr and Justyna Petke and Markus Wagner and Brad Alexander and David R. White,2019,GECCO 2019 - Proceedings of the 2019 Genetic and Evolutionary Computation Conference,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
177,Test-based security certification of composite services,Marco Anisetti and Claudio Ardagna and Ernesto Damiani and Gianluca Polegri,2018,ACM Transactions on the Web,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
178,Handling SQL Databases in Automated System Test Generation,Andrea Arcuri and Juan P. Galeotti,2020,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
179,Assessing dependability with software fault injection: A survey,Roberto Natella and Domenico Cotroneo and Henrique S. Madeira,2016,ACM Computing Surveys,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
180,"Testing high performance numerical simulation programs: Experience, lessons learned, and open issues",Xiao He and Xingwei Wang and Jia Shi and Yi Liu,2020,ISSTA 2020 - Proceedings of the 29th ACM SIGSOFT International Symposium on Software Testing and Analysis,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
181,Enabledness-based Testing of Object Protocols,Javier Godoy and Juan Pablo Galeotti and Diego Garbervetsky and SebastiÃ¡n Uchitel,2021,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
182,Using Relative Lines of Code to Guide Automated Test Generation for Python,Josie Holmes and Iftekhar Ahmed and Caius Brindescu and Rahul Gopinath and He Zhang and Alex Groce,2020,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
183,Smart Contract Repair,Xiao Liang Yu and Omar Al-Bataineh and David Lo and Abhik Roychoudhury,2020,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
184,Coverage-Based Testing of Obligations in NGAC Systems,Erzhuo Chen and Vladislav Dubrovenski and Dianxiang Xu,2023,"Proceedings of ACM Symposium on Access Control Models and Technologies, SACMAT",String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
185,Diversifying Focused Testing for Unit Testing,HÃ©ctor D. MenÃ©ndez and Gunel Jahangirova and Federica Sarro and Paolo Tonella and David Clark,2021,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
186,Are machine learning cloud APIs used correctly?,Chengcheng Wan and Shicheng Liu and Henry Hoffmann and Michael Maire and Shan Lu,2021,Proceedings - International Conference on Software Engineering,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
187,Feature-Interaction Sampling for Scenario-based Testing of Advanced Driver Assistance Systems,Lukas Birkemeyer and Tobias Pett and Andreas Vogelsang and Christoph Seidl and Ina Schaefer,2022,ACM International Conference Proceeding Series,String C,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
188,ACM SACMAT 2023 Chairs' Welcome,Silvio Ranise and Roberto Carbone and Daniel Takabi,2023,"Proceedings of ACM Symposium on Access Control Models and Technologies, SACMAT",String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
189,Preface,Tiago Boldt Sousa,2022,ACM International Conference Proceeding Series,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
190,Testing RESTful APIs: A Survey,Amid Golmohammadi and Man Zhang and Andrea Arcuri,2023,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
191,Message from the GI 2024 Workshop Chairs,,2024,"Proceedings - 2024 IEEE/ACM International Workshop on Genetic Improvement, GI 2024",String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
192,Integrating Mutation Testing Into Developer Workflow: An Industrial Case Study,Stefan Alexander Van Heijningen and Theo Wiik and Francisco Gomes De Oliveira Neto and Gregory Gay and Kim Viggedal and David Friberg,2024,"Proceedings - 2024 39th ACM/IEEE International Conference on Automated Software Engineering, ASE 2024",String C,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
193,Revisiting Test-Case Prioritization on Long-Running Test Suites,Runxiang Cheng and Shuai Wang and Reyhaneh Jabbarvand and Darko Marinov,2024,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
194,Welcome from the Chairs,Jonathan Edwards and Marcel Taeumel,2024,"Onward! 2024 - Proceedings of the 2024 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software, Co-located with: SPLASH 2024",String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
195,Speeding Up Genetic Improvement via Regression Test Selection,Giovani Guizzo and David Williams and Mark Harman and Justyna Petke and Federica Sarro,2024,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
196,EffFix: Efficient and Effective Repair of Pointer Manipulating Programs,Yuntong Zhang and Andreea Costea and Ridwan Shariffdeen and Davin McCall and Abhik Roychoudhury,2025,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
197,Identifying Competence Gaps and Student Struggle by Monitoring Testing Performance,Axel BÃ¶ttcher and Veronika Thurner,2025,Proceedings of the 6th ECSEE 2025 - European Conference on Software Engineering Education,String C,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
198,An Empirical Study of Testing Machine Learning in the Wild,Moses Openja and Foutse Khomh and Armstrong Foundjem and Zhen Mings Jiang and Mouna Abidi and Ahmed E. Hassan,2024,ACM Transactions on Software Engineering and Methodology,String C,INCLUDE,
199,Message from the ACM CCS 2024 General Co-Chairs,Bo Luo and Xiaojing Liao and Jun Xu,2024,CCS 2024 - Proceedings of the 2024 ACM SIGSAC Conference on Computer and Communications Security,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
200,Harden and Catch for Just-in-Time Assured LLM-Based Software Testing: Open Research Challenges,Mark Harman and Peter Oâ€™Hearn and Shubho Sengupta,2025,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
201,The Sustainability Face of Automated Program Repair Tools,Matias Martinez and Silverio MartÃ­nez-FernÃ¡ndez and Xavier Franch,2025,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
202,Leveraging Large Language Models for Enhancing the Understandability of Generated Unit Tests,Amirhossein Deljouyi and Roham Koohestani and Maliheh Izadi and Andy Zaidman,2025,Proceedings - International Conference on Software Engineering,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
203,Just-In-Time Quality Assurance with Assistance of Automated Defect Prediction and Code Testing,Dawei Tian and Liyan Song and Xiaohong Su,2026,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
204,Requirements-Based Test Generation: A Comprehensive Survey,Zhenzhen Yang and Rubing Huang and Chenhui Cui and Nan Niu and Dave Towey,2025,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
205,Boosting Metamorphic Testing: A General Metamorphic Specification Language and A Supporting System,Chang-ai Sun and Siyi Wu and XiaoYi Zhang and Pak-Lok Poon,2026,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
206,CITYWALK : Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge,Yuwei Zhang and Qingyuan Lu and Kai Liu and Wensheng Dou and Jiaxin Zhu and Li Qian and Chunxi Zhang and Zheng Lin and Jun Wei,2025,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
207,Fault Localization from the Semantic Code Search Perspective,Yihao Qin and Shangwen Wang and Yan Lei and Zhuo Zhang and Bo Lin and Xin Peng and Jun Ma and Liqian Chen and Xiaoguang Mao,2025,ACM Transactions on Software Engineering and Methodology,String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
