id,title,authors,year,venue,search_strings
1,"On Comparing Mutation Testing Tools through Learning-based Mutant Selection","M. Ojdanic et al.",2023,"IEEE/ACM AST","String A"
2,"DeepCrime: from Real Faults to Mutation Testing Tool for Deep Learning","N. Humbatova; G. Jahangirova; P. Tonella",2023,"ICSE-Companion","String A; String C"
3,"Mutation Testing Reinvented: How Artificial Intelligence Complements Classic Methods","S. Uzunbayir; K. Kurtel",2024,"UBMK","String A"
4,"What Are We Really Testing in Mutation Testing for Machine Learning? A Critical Reflection","A. Panichella; C. C. S. Liem",2021,"ICSE-NIER","String A"
5,"An Experimental Tool for Search-Based Mutation Testing","M. B. Bashir; A. Nadeem",2018,"FIT","String A; String C"
6,"An Extensive Study on Cross-Project Predictive Mutation Testing","D. Mao; L. Chen; L. Zhang",2019,"ICST","String A"
7,"Cerebro: Static Subsuming Mutant Selection","A. Garg et al.",2023,"IEEE TSE","String A; String B"
8,"Mutant Selection Strategies in Mutation Testing","R. Pitts",2023,"ICCQ","String A; String B"
9,"Learning-based Mutant Reduction Using Fine-grained Mutation Operators","Y. Kim; S. Hong",2022,"ICST","String A"
10,"DeepMutation++: A Mutation Testing Framework for Deep Learning Systems","Q. Hu et al.",2019,"ASE","String A"
11,"On the implementation of search based approach to mutation testing","M. Tuloli; B. Sitohang; B. Hendradjaya",2017,"ICoDSE","String A; String C"
12,"Manifesting Bugs in Machine Learning Code: An Explorative Study with Mutation Testing","D. Cheng; C. Cao; C. Xu; X. Ma",2018,"QRS","String A"
13,"TF-DM: Tool for Studying ML Model Resilience to Data Faults","N. Narayanan; K. Pattabiraman",2021,"DeepTest","String A"
14,"State of art in the field of Search-based Mutation Testing","N. Jatana; S. Rani; B. Suri",2015,"ICRITO","String A"
15,"EvoSuite at the SBST 2019 Tool Competition","J. Campos; A. Panichella; G. Fraser",2019,"SBST","String A"
16,"EvoSuite at the SBST 2018 Tool Competition","G. Fraser; J. M. Rojas; A. Arcuri",2018,"SBST","String A"
17,"EvoSuite at the SBST 2015 Tool Competition","G. Fraser; A. Arcuri",2015,"SBST","String A"
18,"Automated Search for Good Coverage Criteria: Moving from Code Coverage to Fault Coverage through Search-Based Software Engineering","P. McMinn et al.",2016,"SBST","String A"
19,"Scalable Mutation Testing Using Predictive Analysis of Deep Learning Model","M. R. Naeem et al.",2019,"IEEE Access","String A"
20,"Mutation Testing of Deep Reinforcement Learning Based on Real Faults","F. Tambon et al.",2023,"ICST","String A"
21,"EvoSuite at the SBST 2016 Tool Competition","G. Fraser; A. Arcuri",2016,"SBST","String A"
22,"DeepWeak: Weak Mutation Testing for Deep Learning Systems","Y. Xue et al.",2024,"QRS","String A"
23,"Sentinel: A Hyper-Heuristic for the Generation of Mutant Reduction Strategies","G. Guizzo; F. Sarro; J. Krinke; S. R. Vergilio",2022,"IEEE TSE","String A; String B"
24,"DeepMutation: Mutation Testing of Deep Learning Systems","L. Ma et al.",2018,"ISSRE","String A"
25,"Inferring Automatic Test Oracles","W. B. Langdon; S. Yoo; M. Harman",2017,"SBST","String A"
26,"mrstudyr: Retrospectively Studying the Effectiveness of Mutant Reduction Techniques","C. J. McCurdy; P. McMinn; G. M. Kapfhammer",2016,"ICSME","String B"
27,"Quasi-Dominators and Random Selection in Mutation Testing","R. Pitts",2022,"ICCQ","String B"
28,"Is operator-based mutant selection superior to random mutant selection?","L. Zhang et al.",2010,"ICSE","String B"
29,"Operator-based and random mutant selection: Better together","L. Zhang; M. Gligoric; D. Marinov; S. Khurshid",2013,"ASE","String B"
30,"An Empirical Comparison of Mutant Selection Assessment Metrics","J. M. Zhang et al.",2019,"ICSTW","String B"
31,"Random Mutant Selection and Equivalent Mutants Revisited","R. Pitts",2022,"ICSTW","String B"
32,"MQP: Mutants Quality Prediction for Cost-Effective Mutation Testing","X. Wang et al.",2021,"QRS-C","String B"
33,"Prioritizing Mutants to Guide Mutation Testing","S. J. Kaufman et al.",2022,"ICSE","String B"
34,"Poster: Predicting the Fault Revelation Utility of Mutants","T. T. Chekam et al.",2018,"ICSE-Companion","String B"
35,"Using Fourier Analysis and Mutant Clustering to Accelerate DNN Mutation Testing","A. Ghanbari; S. Tavakkol",2025,"ASE","String B"
36,"Optimal Second-Order Mutants Reduction Based on MOEA/D","J. Liu; Z. Wang",2023,"QRS-C","String B"
37,"Using a swarm to detect hard-to-kill mutants","A. Ibias; M. Nunez",2020,"SMC","String B"
38,"Enabling Efficient Assertion Inference","A. Garg et al.",2023,"ISSRE","String B"
39,"Growing a Reduced Set of Mutation Operators","M. E. Delamaro et al.",2014,"SBES","String B"
40,"Mutation score evaluation in terms of object-oriented metrics","M. H. Moghadam; S. M. Babamir",2014,"ICCKE","String C"
41,"Control Oriented Mutation Testing for Detection of Potential Software Bugs","M. B. Bashir; A. Nadeem",2012,"FIT","String C"
42,"A weak mutation testing framework for WS-BPEL","P. Boonyakulsrirung; T. Suwannasart",2011,"JCSSE","String C"
43,"On the Improvement of the Mutation Score Using Distinguishing Test Cases","S. Nica",2011,"ICST","String C"
44,"Scalability Studies on Selective Mutation Testing","J. Zhang",2015,"ICSE","String C"
45,"A Solution For Improving The Effectiveness of Higher Order Mutation Testing","D. Van Nho; N. Quang Vu; N. Thanh Binh",2019,"RIVF","String C"
46,"An Empirical Study on the Scalability of Selective Mutation Testing","J. Zhang; M. Zhu; D. Hao; L. Zhang",2014,"ISSRE","String C"
47,"Toward a Functional Requirements Prioritization with Early Mutation Testing","N. Condori-Fernandez; M. F. Granda; T. E. J. Vos",2018,"RET","String C"
48,"Priority Path for Mutant Repairs on Mutation Testing","S. A. Arnomo; N. Binti Ibrahim",2019,"ICAITI","String C"
49,"Extreme mutation testing in practice: An industrial case study","M. Betka; S. Wagner",2021,"AST","String C"
50,"Improving Effectiveness of Spectrum-based Software Fault Localization using Mutation Testing","A. Saxena; R. Bhatnagar; D. K. Srivastava",2021,"INCET","String C"
51,"Investigating the Correlation between Mutation Score and Coverage Score","B. Assylbekov et al.",2013,"UKSim","String C"
52,"MILU: A Customizable, Runtime-Optimized Higher Order Mutation Testing Tool for the Full C Language","Y. Jia; M. Harman",2008,"TAIC PART","String C"
53,"Bacterio: Java mutation testing tool: A framework to evaluate quality of tests cases","P. R. Mateo; M. P. Usaola",2012,"ICSM","String C"
54,"Automatic Test Case Generation and Optimization Based on Mutation Testing","Y. Du et al.",2019,"QRS-C","String C"
55,"An Empirical Study on Mutation Testing of WS-BPEL Programs","C.-a. Sun et al.",2017,"The Computer Journal","String C"
56,"Extended firm mutation testing: A cost reduction technique for mutation testing","M. Singh; V. M. Srivastava",2017,"ICIIP","String C"
57,"An approach for mutation testing using elitist genetic algorithm","K. K. Mishra et al.",2010,"ICCSIT","String C"
58,"Mutation testing meets approximate computing","M. Gligoric; S. Khurshid; S. Misailovic; A. Shi",2017,"ICSE-NIER","String C"
59,"Mutation testing for integer overflow in ethereum smart contracts","J. Sun et al.",2022,"Tsinghua Science and Technology","String C"
60,"A comparison of database fault detection capabilities using mutation testing","D. W. McCormick; W. B. Frakes; R. Anguswamy",2012,"ESEM","String C"
61,"Testing DOM-utilizing functionalities through mutation testing","D. Pozderac et al.",2024,"INFOTEH","String C"
