id,author,title,publication_year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
1,"Arghavan Moradi Dakhel|Amin Nikanjam|Vahid Majdinasab|Foutse Khomh|Michel C. Desmarais","Effective test generation using pre-trained Large Language Models and mutation testing",2024,Information and Software Technology,string 1,INCLUDE,,INCLUDE,"Đọc full-text: dùng LLM (Codex, llama-2-chat) kết hợp mutation testing để sinh unit test; có số liệu mutation score 93.57% và phát hiện thêm 28% (468) buggy code so với Pynguin. Đủ IC1-IC5."
2,"Muhammad Hassan|Sallar Ahmadi-Pour|Khushboo Qayyum|Chandan Kumar Jha|Rolf Drechsler","LLM-Guided Formal Verification Coupled with Mutation Testing",2024,,string 1,UNSURE,,EXCLUDE,"Đọc full-text: mutation testing chỉ là bước kiểm chứng phụ trong formal verification phần cứng, không đánh giá AI hướng dẫn chọn/sinh mutant và không có số liệu so sánh với traditional. Loại theo EC4 (ngoài phạm vi)."
3,"Frank Tip|Jonathan Bell|Max Schäfer","LLMorpheus: Mutation Testing Using Large Language Models",2025,IEEE Transactions on Software Engineering,string 1,INCLUDE,,INCLUDE,"Đọc full-text: dùng LLM (CodeLlama-34b, Mixtral-8x7b, Llama-3.3-70b, GPT-4o-mini) sinh mutant cho JavaScript/TypeScript, so với StrykerJS; có số liệu killed/survived và chi phí. Đủ IC1-IC5."
4,"Philipp Straubinger|Marvin Kreis|Stephan Lukasczyk|Gordon Fraser","Mutation Testing via Iterative Large Language Model-Driven Scientific Debugging",2025,,string 1,UNSURE,,EXCLUDE,"Đọc full-text: LLM phục vụ scientific debugging lặp, mục tiêu là gỡ lỗi chứ không so sánh AI-guided với traditional mutation testing về fault detection/effort. Loại theo EC4 (không khớp outcome RQ)."
9,"Gabriel Guerrero-Contreras|Sara Balderas-Díaz|Pedro Delgado‐Pérez|Inmaculada Medina‐Bulo","Explainable Artificial Intelligence to Improve Interpretability in Predictive Mutation Testing",2025,Lecture notes in computer science,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: tập trung vào tính giải thích (XAI) cho predictive mutation testing, không so sánh mutant selection AI vs random và không đo testing effort. Loại theo EC4 (ngoài outcome RQ)."
13,"Bo Wang|Mingda Chen|Ming Deng|Youfang Lin|Mark Harman|Mike Papadakis|Jie M. Zhang","A Comprehensive Study on Large Language Models for Mutation Testing",2026,ACM Transactions on Software Engineering and Methodology,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: là nghiên cứu khảo sát tổng quan năng lực LLM sinh mutant trên nhiều mô hình, không thiết kế can thiệp AI-guided selection so với random theo outcome RQ. Để tham khảo nền, loại theo EC4."
19,"Zhao Tian|Honglin Shu|Dong Wang|Xuejie Cao|Yasutaka Kamei|Junjie Chen","Large Language Models for Equivalent Mutant Detection: How Far Are We?",2024,,string 1,INCLUDE,,INCLUDE,"Đọc full-text: dùng LLM và code embedding phát hiện equivalent mutant trên Java (MutantBench, 3.302 cặp mutant); có F1, precision, recall. Đủ IC1-IC5."
22,"Yuteng Lu|Weidi Sun|Meng Sun","Towards mutation testing of Reinforcement Learning systems",2022,Journal of Systems Architecture,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: mutation testing được ÁP DỤNG LÊN hệ thống reinforcement learning (AI là đối tượng kiểm thử, không phải công cụ hướng dẫn mutant). Sai hướng can thiệp, loại theo EC4."
26,"Guogen Zeng|Juan Luo|Ying Qiao|S. H. Teng|Anping Liu","SpaceMutation : An LLM-assisted mutation testing framework for DNNs in distributed LEO satellites",2026,Expert Systems with Applications,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: mutation testing cho DNN trên vệ tinh LEO, AI là đối tượng kiểm thử và miền rất hẹp, không phải AI-guided mutant selection cho phần mềm thông thường. Loại theo EC4."
27,"Yuteng Lu|Kaicheng Shao|Jia Zhao|Weidi Sun|Meng Sun","Mutation testing of unsupervised learning systems",2023,Journal of Systems Architecture,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: kiểm thử đột biến cho hệ thống học không giám sát (AI là đối tượng kiểm thử). Sai hướng can thiệp, loại theo EC4."
30,"Mohamed Salah Bouafif|Mohammad Hamdaqa|Edward Zulkoski","PRIMG : Efficient LLM-driven Test Generation Using Mutant Prioritization",2025,,string 1,INCLUDE,,INCLUDE,"Đọc full-text: dùng LLM (Llama 3.1 8B) + ưu tiên mutant (mutant prioritization) so với random selection trên Solidity smart contract; quá trình refine nâng tỉ lệ test đúng (vd 4.6% lên 40.2%) và giảm kích thước test suite. Đúng trọng tâm mutant selection, đủ IC1-IC5."
35,"Zeming Wei|Y Zhang|Meng Sun","MILE: A Mutation Testing Framework of In-Context Learning Systems",2024,Lecture notes in computer science,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: framework kiểm thử đột biến cho hệ thống in-context learning (AI là đối tượng kiểm thử). Sai hướng can thiệp, loại theo EC4."
39,"Fatoş Dilan Köseoğlu|Fatma Keklik Karadağ|Hale Bülbül|Erdem Ugur Alici|Berk Özyılmaz|Taha Reşid Özdemir","JAKCalc: A machine-learning approach to rationalized JAK2 testing in patients with elevated hemoglobin levels",2024,Medicine,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: thuộc lĩnh vực y khoa (xét nghiệm gen JAK2); 'mutation' ở đây là đột biến gen, không liên quan kiểm thử đột biến phần mềm. Loại theo EC4."
43,"Mingda Chen|Bo Wang|Youfang Lin|Jie M. Zhang","CAMUS: Context-Aware Neural Mutation Selection",2025,,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: tập trung chọn mutant bằng mô hình neural nhưng không so sánh trực tiếp với random selection và không báo cáo fault detection/effort theo outcome RQ. Loại theo EC4."
45,"Christopher Foster|Abhishek Gulati|Mark Harman|Inna Harper|Ke Mao|Ritchey, Jillian|Hervé Robert|Shubho Sengupta","Mutation-Guided LLM-based Test Generation at Meta",2025,ArXiv.org,string 1,INCLUDE,,INCLUDE,"Đọc full-text: framework ACH dùng LLM sinh test theo mutant tại Meta trên Android/Kotlin; có số liệu mutants, tests, acceptance rate 73%, precision/recall phát hiện equivalent mutant. Đủ IC1-IC5."
52,"Mohammad Tanhaei|Roohallah Alizadehsani","GEM-LLM: Identifying contextual equivalent mutants via large language models; A global invariant-based approach",2026,Intelligent Systems with Applications,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: chỉ giải quyết phát hiện equivalent mutant bằng LLM (đã được Tian 2024 đại diện trong evidence table), không phải mutant selection/generation so với random. Loại theo EC4 để tránh trùng phạm vi."
58,"Zeming Wei|Guanzhang Yue|Yihao Zhang|Meng Sun","On Mutation Testing of In-Context Learning Systems",2026,Journal of Systems Architecture,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: kiểm thử đột biến cho hệ thống in-context learning (AI là đối tượng kiểm thử). Sai hướng can thiệp, loại theo EC4."
73,"Zeyu Lu|Peng Zhang|Yuge Nie|Yibiao Yang|Yutian Tang|Chun Yong Chong|Yuming Zhou","Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models",2026,Proceedings of the ACM on Programming Languages,string 1,INCLUDE,,EXCLUDE,"Đọc full-text: dùng LLM tăng cường test suite theo coverage/effectiveness, không tập trung mutant selection so với random và không đo testing effort. Loại theo EC4."
86,"Bo Wang|Ming Deng|Mingda Chen|Chengran Yang|Youfang Lin|Mark Harman|Mike Papadakis|Jie M. Zhang","Boosting LLMs for Mutation Generation",2026,arXiv (Cornell University),string 1,UNSURE,,EXCLUDE,"Đọc full-text: cải thiện LLM cho mutation generation (sinh mutant), không đánh giá mutant selection so với random và thiếu outcome effort theo RQ. Loại theo EC4."
