project,version,selected,killed,mutation_score,method,seed
Codec,1f,11,11,1.0,GPT,
Codec,2f,32,22,0.6875,GPT,
Codec,3f,62,53,0.8548387096774194,GPT,
Codec,4f,41,36,0.8780487804878049,GPT,
Codec,5f,31,30,0.967741935483871,GPT,
Codec,6f,4,3,0.75,GPT,
Codec,7f,40,35,0.875,GPT,
Codec,8f,40,30,0.75,GPT,
Codec,9f,48,40,0.8333333333333334,GPT,
Csv,10f,23,16,0.6956521739130435,GPT,
Csv,1f,6,5,0.8333333333333334,GPT,
Csv,2f,3,3,1.0,GPT,
Csv,3f,7,7,1.0,GPT,
Csv,4f,7,6,0.8571428571428571,GPT,
Csv,5f,25,22,0.88,GPT,
Csv,6f,3,3,1.0,GPT,
Csv,7f,6,4,0.6666666666666666,GPT,
Csv,8f,13,0,0.0,GPT,
Csv,9f,2,2,1.0,GPT,
JacksonCore,10f,44,28,0.6363636363636364,GPT,
JacksonCore,1f,47,26,0.5531914893617021,GPT,
JacksonCore,2f,228,153,0.6710526315789473,GPT,
JacksonCore,3f,149,102,0.6845637583892618,GPT,
JacksonCore,4f,24,15,0.625,GPT,
JacksonCore,5f,14,9,0.6428571428571429,GPT,
JacksonCore,6f,17,14,0.8235294117647058,GPT,
JacksonCore,7f,5,5,1.0,GPT,
JacksonCore,8f,23,19,0.8260869565217391,GPT,
JacksonCore,9f,149,102,0.6845637583892618,GPT,
Codec,10f,1,1,1.0,RANDOM,123
Codec,1f,17,15,0.8823529411764706,RANDOM,123
Codec,2f,27,23,0.8518518518518519,RANDOM,123
Codec,3f,68,61,0.8970588235294118,RANDOM,123
Codec,4f,24,21,0.875,RANDOM,123
Codec,5f,30,26,0.8666666666666667,RANDOM,123
Codec,6f,2,0,0.0,RANDOM,123
Codec,7f,21,17,0.8095238095238095,RANDOM,123
Codec,8f,32,24,0.75,RANDOM,123
Codec,9f,32,21,0.65625,RANDOM,123
Csv,10f,16,15,0.9375,RANDOM,123
Csv,1f,3,2,0.6666666666666666,RANDOM,123
Csv,2f,5,5,1.0,RANDOM,123
Csv,3f,6,4,0.6666666666666666,RANDOM,123
Csv,4f,6,5,0.8333333333333334,RANDOM,123
Csv,5f,9,5,0.5555555555555556,RANDOM,123
Csv,6f,1,1,1.0,RANDOM,123
Csv,7f,3,3,1.0,RANDOM,123
Csv,8f,10,0,0.0,RANDOM,123
Csv,9f,5,4,0.8,RANDOM,123
JacksonCore,10f,35,20,0.5714285714285714,RANDOM,123
JacksonCore,1f,43,26,0.6046511627906976,RANDOM,123
JacksonCore,2f,231,149,0.645021645021645,RANDOM,123
JacksonCore,3f,146,91,0.6232876712328768,RANDOM,123
JacksonCore,4f,15,7,0.4666666666666667,RANDOM,123
JacksonCore,5f,4,1,0.25,RANDOM,123
JacksonCore,6f,6,4,0.6666666666666666,RANDOM,123
JacksonCore,7f,8,8,1.0,RANDOM,123
JacksonCore,8f,17,8,0.47058823529411764,RANDOM,123
JacksonCore,9f,281,180,0.6405693950177936,RANDOM,123
Codec,1f,15,13,0.8666666666666667,RANDOM,2026
Codec,2f,25,22,0.88,RANDOM,2026
Codec,3f,61,54,0.8852459016393442,RANDOM,2026
Codec,4f,20,19,0.95,RANDOM,2026
Codec,5f,31,26,0.8387096774193549,RANDOM,2026
Codec,6f,6,2,0.3333333333333333,RANDOM,2026
Codec,7f,20,14,0.7,RANDOM,2026
Codec,8f,25,18,0.72,RANDOM,2026
Codec,9f,24,19,0.7916666666666666,RANDOM,2026
Csv,10f,10,7,0.7,RANDOM,2026
Csv,1f,3,1,0.3333333333333333,RANDOM,2026
Csv,2f,4,4,1.0,RANDOM,2026
Csv,3f,3,3,1.0,RANDOM,2026
Csv,4f,3,3,1.0,RANDOM,2026
Csv,5f,14,12,0.8571428571428571,RANDOM,2026
Csv,6f,3,2,0.6666666666666666,RANDOM,2026
Csv,7f,2,2,1.0,RANDOM,2026
Csv,8f,15,0,0.0,RANDOM,2026
Csv,9f,3,3,1.0,RANDOM,2026
JacksonCore,10f,56,31,0.5535714285714286,RANDOM,2026
JacksonCore,1f,40,25,0.625,RANDOM,2026
JacksonCore,2f,228,134,0.5877192982456141,RANDOM,2026
JacksonCore,3f,143,82,0.5734265734265734,RANDOM,2026
JacksonCore,4f,26,17,0.6538461538461539,RANDOM,2026
JacksonCore,5f,7,3,0.42857142857142855,RANDOM,2026
JacksonCore,6f,10,4,0.4,RANDOM,2026
JacksonCore,7f,6,5,0.8333333333333334,RANDOM,2026
JacksonCore,8f,18,10,0.5555555555555556,RANDOM,2026
JacksonCore,9f,283,191,0.6749116607773852,RANDOM,2026
Codec,10f,2,1,0.5,RANDOM,42
Codec,1f,19,14,0.7368421052631579,RANDOM,42
Codec,2f,22,21,0.9545454545454546,RANDOM,42
Codec,3f,57,52,0.9122807017543859,RANDOM,42
Codec,4f,24,18,0.75,RANDOM,42
Codec,5f,24,22,0.9166666666666666,RANDOM,42
Codec,6f,5,4,0.8,RANDOM,42
Codec,7f,27,24,0.8888888888888888,RANDOM,42
Codec,8f,25,21,0.84,RANDOM,42
Codec,9f,29,22,0.7586206896551724,RANDOM,42
Csv,10f,14,14,1.0,RANDOM,42
Csv,1f,5,3,0.6,RANDOM,42
Csv,2f,1,1,1.0,RANDOM,42
Csv,3f,4,4,1.0,RANDOM,42
Csv,4f,3,2,0.6666666666666666,RANDOM,42
Csv,5f,12,8,0.6666666666666666,RANDOM,42
Csv,6f,1,1,1.0,RANDOM,42
Csv,7f,5,5,1.0,RANDOM,42
Csv,8f,11,0,0.0,RANDOM,42
JacksonCore,10f,54,32,0.5925925925925926,RANDOM,42
JacksonCore,1f,43,29,0.6744186046511628,RANDOM,42
JacksonCore,2f,221,137,0.6199095022624435,RANDOM,42
JacksonCore,3f,149,89,0.5973154362416108,RANDOM,42
JacksonCore,4f,25,16,0.64,RANDOM,42
JacksonCore,5f,5,2,0.4,RANDOM,42
JacksonCore,6f,5,3,0.6,RANDOM,42
JacksonCore,8f,22,13,0.5909090909090909,RANDOM,42
JacksonCore,9f,290,184,0.6344827586206897,RANDOM,42
